,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,1,0,4,0,0,0,3,0,0,0,4,0,0,2,4,1,0,0,0,3,13,0,0,0,0,0,0,1
Mohamed Salah,2,0,0,2,0,0,0,2,0,0,0,3,0,0,2,2,3,1,0,0,0,4,0,0,0,0,1,0,13
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,5,5,0,0,6,0,1,4,0,0,0,19,0,0,4,0,2,0,0,0,7,20,0,0,0,0,1,0,7
Alisson Becker,0,0,0,7,0,0,1,7,0,0,0,9,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,3
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,1,0,2,1,0,0,5,0,0,0,2,0,0,1,0,1,0,0,0,5,4,0,0,0,0,1,0,3
Andy Robertson,5,7,0,3,2,0,6,0,0,0,0,20,0,0,1,16,10,1,0,0,27,0,0,0,0,0,0,0,20
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,4,2,0,22,3,0,4,27,0,0,0,0,0,4,1,2,4,2,0,0,15,3,0,0,0,0,0,1,6
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,2,1,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2
Xherdan Shaqiri,5,5,0,3,0,0,0,4,0,0,0,1,0,1,0,1,2,1,0,0,8,12,0,0,0,0,1,4,16
Roberto Firmino,1,3,0,0,0,0,0,6,0,0,0,1,0,0,6,0,6,0,0,0,5,3,0,0,0,0,0,1,7
Sadio Mané,0,2,0,1,0,0,3,7,0,0,0,1,0,0,2,5,0,1,0,0,3,1,0,0,0,0,0,3,6
Daniel Sturridge,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,1,2
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,2,5,0,6,0,0,2,24,0,0,0,11,0,1,7,4,4,3,0,0,0,16,0,0,0,0,0,1,10
Trent Alexander-Arnold,5,5,0,11,4,0,5,6,0,0,0,5,0,1,20,4,2,3,0,0,10,0,0,0,0,0,0,0,19
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
