,initial_possession
Denis Suárez,0
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,29
Mohamed Elneny,3
Alex Iwobi,3
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,18
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Petr Cech,0
Alexandre Lacazette,16
Ainsley Maitland-Niles,11
Mattéo Guendouzi,25
Henrikh Mkhitaryan,0
Joe Willock,0
Stephan Lichtsteiner,0
Bukayo Saka,0
Aaron Ramsey,16
Carl Jenkinson,0
Pierre-Emerick Aubameyang,17
Héctor Bellerín,25
Eddie Nketiah,0
Laurent Koscielny,28
Sead Kolasinac,31
Bernd Leno,24
Lucas Torreira,30
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
