,initial_possession
Denis Suárez,0
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,28
Mohamed Elneny,0
Alex Iwobi,8
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,21
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,31
Petr Cech,0
Alexandre Lacazette,11
Ainsley Maitland-Niles,0
Mattéo Guendouzi,8
Henrikh Mkhitaryan,10
Joe Willock,0
Stephan Lichtsteiner,0
Bukayo Saka,0
Aaron Ramsey,5
Carl Jenkinson,0
Pierre-Emerick Aubameyang,24
Héctor Bellerín,32
Eddie Nketiah,0
Laurent Koscielny,0
Sead Kolasinac,29
Bernd Leno,22
Lucas Torreira,29
Rob Holding,28
Danny Welbeck,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
