,initial_possession
Ben White,0
Mathew Ryan,17
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,14
Bruno,0
Lewis Dunk,23
Anthony Knockaert,17
Jürgen Locadia,7
Jason Steele,0
Martín Montoya,42
Bernardo,0
Davy Pröpper,16
Leon Balogun,0
José Izquierdo,0
Gaëtan Bong,29
Viktor Gyökeres,0
Pascal Groß,11
Dan Burn,0
Alireza Jahanbakhsh,0
Shane Duffy,27
Florin Andone,0
Max Sanders,0
Dale Stephens,21
Beram Kayal,0
Glenn Murray,12
Yves Bissouma,11
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
