,initial_possession
Denis Suárez,0
Mesut Özil,11
Emile Smith Rowe,0
Granit Xhaka,21
Mohamed Elneny,0
Alex Iwobi,4
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,31
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,28
Petr Cech,0
Alexandre Lacazette,24
Ainsley Maitland-Niles,0
Mattéo Guendouzi,7
Henrikh Mkhitaryan,15
Joe Willock,0
Stephan Lichtsteiner,26
Bukayo Saka,0
Aaron Ramsey,0
Carl Jenkinson,0
Pierre-Emerick Aubameyang,16
Héctor Bellerín,0
Eddie Nketiah,0
Laurent Koscielny,0
Sead Kolasinac,7
Bernd Leno,17
Lucas Torreira,33
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,35
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
