,initial_possession
Ben White,0
Mathew Ryan,19
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,21
Bruno,0
Lewis Dunk,26
Anthony Knockaert,21
Jürgen Locadia,3
Jason Steele,0
Martín Montoya,31
Bernardo,0
Davy Pröpper,15
Leon Balogun,0
José Izquierdo,0
Gaëtan Bong,34
Viktor Gyökeres,0
Pascal Groß,16
Dan Burn,0
Alireza Jahanbakhsh,10
Shane Duffy,19
Florin Andone,0
Max Sanders,0
Dale Stephens,24
Beram Kayal,0
Glenn Murray,17
Yves Bissouma,9
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
