,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,2,7,16,2,0,17,0,0,0,0,16,0,0,7,5,4,0,0,0,0,20,0,1,0,11,0,1,8
Mohamed Salah,1,0,5,1,0,0,4,0,0,0,0,2,0,0,2,6,7,0,0,0,0,9,0,2,0,1,1,3,13
Adam Lallana,7,6,0,3,0,0,4,0,0,0,0,0,0,0,0,3,2,0,0,0,0,10,0,0,0,0,0,2,7
Dejan Lovren,27,6,8,0,5,0,8,0,0,0,0,14,0,0,3,3,0,0,0,0,0,16,0,2,0,0,0,0,9
Alisson Becker,4,0,1,8,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,5,4,2,7,0,0,0,0,0,0,0,17,0,0,5,11,6,0,0,0,0,11,0,5,0,2,0,0,12
Andy Robertson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,17,0,3,22,5,0,14,0,0,0,0,0,0,0,0,4,6,0,0,0,0,1,0,6,0,17,0,2,7
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,4,6,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,3,0,1,1,0,7
Roberto Firmino,10,1,3,3,0,0,6,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,7,0,1,10
Sadio Mané,8,6,3,1,0,0,4,0,0,0,0,4,0,0,2,5,0,0,0,0,0,1,0,2,0,10,2,1,7
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,15,18,8,15,1,0,9,0,0,0,0,4,0,0,2,9,3,0,0,0,0,0,0,1,0,0,0,3,21
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,1,0,6,0,0,2,0,0,0,0,1,0,0,4,0,3,0,0,0,0,1,0,0,0,4,0,1,5
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,8,3,3,2,1,0,3,0,0,0,0,13,0,0,0,7,11,0,0,0,0,2,0,3,0,1,0,1,9
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
