,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Salah,0,0,4,0,0,0,4,1,0,0,1,0,0,0,1,3,4,0,0,0,0,0,0,6,0,0,0,4,6
Adam Lallana,0,7,0,0,0,0,7,0,0,0,3,0,0,0,0,3,1,0,0,2,0,0,0,8,0,0,0,1,9
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,0,0,1,0,0,0,1,2,0,0,5,5,0,0,0,1,0,0,0,4,0,0,0,3,0,0,0,0,2
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,7,5,0,0,0,0,13,0,0,12,10,0,0,8,5,6,0,3,13,0,0,0,8,0,0,0,0,9
Andy Robertson,0,1,0,0,1,0,9,0,0,0,5,12,0,0,0,6,10,0,0,11,0,0,0,1,0,0,0,1,22
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,2,6,0,2,0,12,2,0,0,0,20,0,0,4,3,2,0,0,9,0,0,0,11,0,0,0,0,8
Virgil van Dijk,0,1,1,0,1,0,11,15,0,0,21,0,0,0,0,3,2,0,1,9,0,0,0,5,0,0,0,0,17
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,2,9,0,0,0,6,0,0,0,0,5
Roberto Firmino,0,1,1,0,0,0,8,3,0,0,2,4,0,0,1,0,5,0,0,1,0,0,0,3,0,0,0,1,9
Sadio Mané,0,2,2,0,0,0,3,7,0,0,0,2,0,0,2,5,0,0,0,5,0,0,0,3,0,0,1,1,11
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Naby Keïta,0,4,3,0,1,0,12,9,0,0,9,6,0,0,6,5,10,0,1,0,0,0,0,9,0,0,0,1,8
Jordan Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,9,11,0,1,0,9,1,0,0,12,5,0,0,8,3,3,0,0,9,0,0,0,0,0,0,0,0,14
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
