,initial_possession
Georginio Wijnaldum,11
Mohamed Salah,10
Adam Lallana,0
Dejan Lovren,31
Alisson Becker,15
Simon Mignolet,0
Fabinho,26
Andy Robertson,20
Joe Gomez,0
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,32
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,1
Roberto Firmino,0
Sadio Mané,11
Daniel Sturridge,11
Divock Origi,7
Naby Keïta,0
Jordan Henderson,18
Trent Alexander-Arnold,43
Alex Oxlade-Chamberlain,0
James Milner,4
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
