,initial_possession
Georginio Wijnaldum,22
Mohamed Salah,13
Adam Lallana,22
Dejan Lovren,0
Alisson Becker,13
Simon Mignolet,0
Fabinho,27
Andy Robertson,27
Joe Gomez,0
Curtis Jones,0
Joël Matip,28
Virgil van Dijk,25
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,0
Roberto Firmino,19
Sadio Mané,15
Daniel Sturridge,0
Divock Origi,4
Naby Keïta,0
Jordan Henderson,0
Trent Alexander-Arnold,36
Alex Oxlade-Chamberlain,0
James Milner,6
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
