,initial_possession
Georginio Wijnaldum,15
Mohamed Salah,18
Adam Lallana,17
Dejan Lovren,38
Alisson Becker,9
Simon Mignolet,0
Fabinho,17
Andy Robertson,0
Joe Gomez,0
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,22
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,5
Roberto Firmino,13
Sadio Mané,12
Daniel Sturridge,0
Divock Origi,0
Naby Keïta,0
Jordan Henderson,0
Trent Alexander-Arnold,37
Alex Oxlade-Chamberlain,0
James Milner,4
Loris Karius,0
Alberto Moreno,31
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
