,initial_possession
Ben White,0
Mathew Ryan,18
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,18
Bruno,30
Lewis Dunk,20
Anthony Knockaert,19
Jürgen Locadia,1
Jason Steele,0
Martín Montoya,0
Bernardo,0
Davy Pröpper,13
Leon Balogun,0
José Izquierdo,6
Gaëtan Bong,33
Viktor Gyökeres,0
Pascal Groß,0
Dan Burn,0
Alireza Jahanbakhsh,11
Shane Duffy,25
Florin Andone,0
Max Sanders,0
Dale Stephens,0
Beram Kayal,32
Glenn Murray,24
Yves Bissouma,2
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
