,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,2,0,1,2,0,2,4,0,0,0,6,0,0,5,4,2,0,0,0,2,3,0,0,0,0,0,0,5
Mohamed Salah,2,0,0,1,0,0,2,2,0,0,0,2,0,0,5,2,3,0,0,0,1,1,0,0,0,0,1,2,6
Adam Lallana,0,1,0,0,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Dejan Lovren,1,0,0,0,5,0,4,0,0,0,0,7,0,0,5,1,1,0,0,0,1,15,0,0,0,0,0,0,9
Alisson Becker,0,0,2,8,0,0,1,3,0,0,0,6,0,1,1,3,2,0,0,0,2,2,0,0,0,0,0,0,3
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,2,1,0,4,1,0,1,5,0,0,0,6,0,0,3,6,5,0,0,0,1,3,0,0,0,0,0,1,12
Andy Robertson,0,3,0,1,3,0,5,0,0,0,0,4,0,0,4,10,6,0,0,0,0,0,0,0,0,0,0,0,18
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,5,1,1,11,6,0,11,12,0,0,0,0,0,1,2,1,2,0,0,0,0,2,0,0,0,0,0,0,3
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2
Xherdan Shaqiri,4,9,1,5,1,0,2,5,0,0,0,3,0,0,0,1,1,0,0,0,2,9,0,0,0,0,0,1,10
Roberto Firmino,6,5,2,1,0,0,6,0,0,0,0,2,0,5,5,0,1,0,0,0,1,2,0,0,0,0,3,2,6
Sadio Mané,2,1,0,0,0,0,3,5,0,0,0,2,0,0,3,2,0,0,0,0,0,1,0,0,0,0,1,1,5
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,2,3
Trent Alexander-Arnold,5,4,1,8,0,0,3,1,0,0,0,3,0,0,12,4,0,0,0,0,2,0,0,0,0,0,0,1,12
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
