,initial_possession
Denis Suárez,0
Mesut Özil,9
Emile Smith Rowe,0
Granit Xhaka,31
Mohamed Elneny,0
Alex Iwobi,7
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,26
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Petr Cech,0
Alexandre Lacazette,15
Ainsley Maitland-Niles,32
Mattéo Guendouzi,6
Henrikh Mkhitaryan,8
Joe Willock,0
Stephan Lichtsteiner,0
Bukayo Saka,0
Aaron Ramsey,0
Carl Jenkinson,0
Pierre-Emerick Aubameyang,0
Héctor Bellerín,0
Eddie Nketiah,5
Laurent Koscielny,19
Sead Kolasinac,7
Bernd Leno,15
Lucas Torreira,18
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,30
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
