,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,4,2,0,0,0,1,13,0,0,16,23,0,0,6,7,6,1,0,6,16,0,0,0,0,0,0,0,3
Mohamed Salah,2,0,1,0,0,0,1,0,0,0,2,0,0,0,1,1,4,0,0,0,3,0,0,0,0,0,0,2,8
Adam Lallana,0,2,0,0,0,0,2,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,2,0,1,0,0,0,2,2,0,0,4,7,0,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,6
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,3,1,1,0,0,0,0,4,0,0,3,3,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,8
Andy Robertson,13,0,2,0,1,0,5,0,0,0,1,19,0,0,1,13,5,1,0,14,0,0,0,0,0,0,0,1,18
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,8,2,0,0,5,0,5,4,0,0,0,31,0,0,3,7,3,0,0,6,14,0,0,0,0,0,0,1,9
Virgil van Dijk,20,2,4,0,3,0,3,22,0,0,26,0,0,0,2,5,2,0,0,17,5,0,0,0,0,0,0,0,10
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,10,5,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,9,3,0,0,0,0,0,0,0,5
Roberto Firmino,7,0,1,0,0,0,1,10,0,0,3,4,0,0,1,0,8,0,0,7,3,0,0,0,0,0,0,2,8
Sadio Mané,4,5,1,0,0,0,0,6,0,0,2,2,0,0,3,4,0,0,0,3,4,0,0,0,0,0,1,2,13
Daniel Sturridge,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,13,1,0,0,1,0,0,10,0,0,9,8,0,0,4,9,9,0,0,0,4,0,0,0,0,0,0,0,10
Jordan Henderson,16,2,0,0,3,0,3,3,0,0,12,4,0,0,9,8,5,1,0,6,0,0,0,0,0,0,0,0,21
Trent Alexander-Arnold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
