,initial_possession
Ben White,0
Mathew Ryan,15
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,14
Bruno,32
Lewis Dunk,27
Anthony Knockaert,5
Jürgen Locadia,0
Jason Steele,0
Martín Montoya,0
Bernardo,35
Davy Pröpper,0
Leon Balogun,0
José Izquierdo,5
Gaëtan Bong,0
Viktor Gyökeres,0
Pascal Groß,20
Dan Burn,0
Alireza Jahanbakhsh,0
Shane Duffy,29
Florin Andone,11
Max Sanders,0
Dale Stephens,28
Beram Kayal,7
Glenn Murray,15
Yves Bissouma,11
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
