,initial_possession
Georginio Wijnaldum,18
Mohamed Salah,25
Adam Lallana,1
Dejan Lovren,0
Alisson Becker,14
Simon Mignolet,0
Fabinho,36
Andy Robertson,28
Joe Gomez,0
Curtis Jones,0
Joël Matip,24
Virgil van Dijk,32
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,0
Roberto Firmino,0
Sadio Mané,16
Daniel Sturridge,0
Divock Origi,18
Naby Keïta,1
Jordan Henderson,8
Trent Alexander-Arnold,27
Alex Oxlade-Chamberlain,0
James Milner,22
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
