,initial_possession
Georginio Wijnaldum,10
Mohamed Salah,10
Adam Lallana,3
Dejan Lovren,0
Alisson Becker,16
Simon Mignolet,0
Fabinho,26
Andy Robertson,58
Joe Gomez,0
Curtis Jones,0
Joël Matip,34
Virgil van Dijk,48
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,0
Roberto Firmino,7
Sadio Mané,16
Daniel Sturridge,0
Divock Origi,18
Naby Keïta,0
Jordan Henderson,19
Trent Alexander-Arnold,47
Alex Oxlade-Chamberlain,0
James Milner,10
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
