,initial_possession
Adrián,0
Mohamed Salah,17
Fábio Carvalho,0
Alisson Becker,12
Cody Gakpo,11
Caoimhín Kelleher,0
Fabinho,16
Andy Robertson,31
Joe Gomez,38
Luis Díaz,0
Darwin Núñez,14
Stefan Bajcetic,27
Curtis Jones,0
Joël Matip,24
Virgil van Dijk,0
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,1
Harvey Elliott,4
Ibrahima Konaté,0
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,0
Rhys Williams,0
Harvey Davies,0
Naby Keïta,4
Nathaniel Phillips,0
Jordan Henderson,15
Trent Alexander-Arnold,38
Diogo Jota,5
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,6
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
