,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,22
James Furlong,0
Levi Colwill,0
Adam Lallana,6
Kaoru Mitoma,0
Pervis Estupiñán,7
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,33
Solly March,18
Lewis Dunk,32
Moisés Caicedo,21
Andrew Moran,0
Facundo Buonanotte,0
Evan Ferguson,0
Julio Enciso,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,13
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,24
Deniz Undav,0
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,20
Enock Mwepu,5
Billy Gilmour,0
Danny Welbeck,11
Tariq Lamptey,0
Cameron Peupion,0
Joël Veltman,39
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
