,initial_possession
Reuell Walters,0
Ben White,26
Takehiro Tomiyasu,0
Emile Smith Rowe,0
Martin Ødegaard,20
Granit Xhaka,14
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,1
Karl Hein,0
Oleksandr Zinchenko,41
Thomas Partey,6
Kieran Tierney,3
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,0
Cédric Soares,0
Gabriel Jesus,16
Jorginho,14
Mauro Bandeira,0
Aaron Ramsdale,10
Gabriel Martinelli,31
Leandro Trossard,15
Lino Sousa,0
Bukayo Saka,5
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,0
Albert Sambi Lokonga,0
Gabriel Magalhães,38
Jakub Kiwior,0
Rob Holding,26
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
