,initial_possession
Reuell Walters,0
Ben White,18
Takehiro Tomiyasu,5
Emile Smith Rowe,0
Martin Ødegaard,15
Granit Xhaka,19
Mohamed Elneny,0
Reiss Nelson,7
Fábio Vieira,3
Karl Hein,0
Oleksandr Zinchenko,18
Thomas Partey,30
Kieran Tierney,6
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,32
Cédric Soares,0
Gabriel Jesus,7
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,19
Gabriel Martinelli,16
Leandro Trossard,14
Lino Sousa,0
Bukayo Saka,21
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,0
Albert Sambi Lokonga,0
Gabriel Magalhães,20
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
