,initial_possession
Reuell Walters,0
Ben White,32
Takehiro Tomiyasu,0
Emile Smith Rowe,0
Martin Ødegaard,19
Granit Xhaka,15
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,0
Karl Hein,0
Oleksandr Zinchenko,19
Thomas Partey,32
Kieran Tierney,9
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,0
Cédric Soares,0
Gabriel Jesus,6
Jorginho,1
Mauro Bandeira,0
Aaron Ramsdale,11
Gabriel Martinelli,12
Leandro Trossard,10
Lino Sousa,0
Bukayo Saka,15
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,0
Albert Sambi Lokonga,0
Gabriel Magalhães,19
Jakub Kiwior,2
Rob Holding,48
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
