,initial_possession
Reuell Walters,0
Ben White,26
Takehiro Tomiyasu,0
Emile Smith Rowe,0
Martin Ødegaard,15
Granit Xhaka,40
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,0
Karl Hein,0
Oleksandr Zinchenko,34
Thomas Partey,34
Kieran Tierney,7
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,37
Cédric Soares,0
Gabriel Jesus,30
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,8
Gabriel Martinelli,16
Leandro Trossard,0
Lino Sousa,0
Bukayo Saka,14
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,0
Albert Sambi Lokonga,0
Gabriel Magalhães,32
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
