,initial_possession
Reuell Walters,0
Ben White,28
Takehiro Tomiyasu,6
Emile Smith Rowe,0
Martin Ødegaard,27
Granit Xhaka,26
Mohamed Elneny,10
Reiss Nelson,0
Fábio Vieira,0
Karl Hein,0
Oleksandr Zinchenko,0
Thomas Partey,0
Kieran Tierney,21
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,24
Cédric Soares,0
Gabriel Jesus,28
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,16
Gabriel Martinelli,33
Leandro Trossard,0
Lino Sousa,0
Bukayo Saka,19
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,7
Albert Sambi Lokonga,0
Gabriel Magalhães,28
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
