,Reuell Walters,Ben White,Takehiro Tomiyasu,Emile Smith Rowe,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Reiss Nelson,Fábio Vieira,Karl Hein,Oleksandr Zinchenko,Thomas Partey,Kieran Tierney,Marquinhos,Nathan Butler-Oyedeji,William Saliba,Cédric Soares,Gabriel Jesus,Jorginho,Mauro Bandeira,Aaron Ramsdale,Gabriel Martinelli,Leandro Trossard,Lino Sousa,Bukayo Saka,Matt Turner,Nicolas Pépé,Eddie Nketiah,Albert Sambi Lokonga,Gabriel Magalhães,Jakub Kiwior,Rob Holding,Matt Smith,Ethan Nwaneri,Amario Cozier-Duberry,Successful,Unsuccessful,Unsuccessful Pass
Nathan Butler-Oyedeji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Saliba,0,13,5,0,6,1,0,0,0,0,5,12,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,15,0,0,0,0,0,0,1,7
Cédric Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Jesus,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Jorginho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauro Bandeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Ramsdale,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11
Gabriel Martinelli,0,3,0,0,3,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,3,6
Leandro Trossard,0,3,0,0,5,6,0,0,0,0,3,2,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,12
Lino Sousa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,0,7,0,0,8,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
Matt Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Pépé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Sambi Lokonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Magalhães,0,0,0,0,2,9,0,0,0,0,6,4,1,0,0,14,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
Jakub Kiwior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Nwaneri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amario Cozier-Duberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
