,Reuell Walters,Ben White,Takehiro Tomiyasu,Emile Smith Rowe,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Reiss Nelson,Fábio Vieira,Karl Hein,Oleksandr Zinchenko,Thomas Partey,Kieran Tierney,Marquinhos,Nathan Butler-Oyedeji,William Saliba,Cédric Soares,Gabriel Jesus,Jorginho,Mauro Bandeira,Aaron Ramsdale,Gabriel Martinelli,Leandro Trossard,Lino Sousa,Bukayo Saka,Matt Turner,Nicolas Pépé,Eddie Nketiah,Albert Sambi Lokonga,Gabriel Magalhães,Jakub Kiwior,Rob Holding,Matt Smith,Ethan Nwaneri,Amario Cozier-Duberry,Successful,Unsuccessful,Unsuccessful Pass
Reuell Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben White,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,4,0,0,1,2,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,7
Takehiro Tomiyasu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Ødegaard,0,7,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,4,0,0,0,0,1,5
Granit Xhaka,0,0,0,0,4,0,0,0,0,0,8,2,2,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,2,0,6,0,0,0,0,1,7
Mohamed Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fábio Vieira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,0,2,0,0,3,9,0,0,0,0,0,6,0,0,0,0,0,6,0,0,2,9,0,0,3,0,0,0,0,4,0,7,0,0,0,0,2,3
Thomas Partey,0,2,0,0,2,7,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,5,0,0,0,0,0,7
Kieran Tierney,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Marquinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Butler-Oyedeji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cédric Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Jesus,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,0,1,0,0,0,1,1,7
Jorginho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauro Bandeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Ramsdale,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,19
Gabriel Martinelli,0,0,0,0,1,2,0,0,0,0,8,1,0,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,1,0,6
Leandro Trossard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lino Sousa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,0,3,0,0,7,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12
Matt Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Pépé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Sambi Lokonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Magalhães,0,0,0,0,0,6,0,0,0,0,2,2,0,0,0,0,0,2,0,0,4,5,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1,4
Jakub Kiwior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rob Holding,0,5,0,0,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,14
Matt Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Nwaneri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amario Cozier-Duberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
