,initial_possession
Reuell Walters,0
Ben White,33
Takehiro Tomiyasu,8
Emile Smith Rowe,0
Martin Ødegaard,15
Granit Xhaka,23
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,0
Karl Hein,0
Oleksandr Zinchenko,41
Thomas Partey,30
Kieran Tierney,0
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,30
Cédric Soares,0
Gabriel Jesus,0
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,11
Gabriel Martinelli,15
Leandro Trossard,0
Lino Sousa,0
Bukayo Saka,17
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,2
Albert Sambi Lokonga,0
Gabriel Magalhães,25
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
