,initial_possession
Adrián,0
Mohamed Salah,14
Fábio Carvalho,6
Alisson Becker,18
Cody Gakpo,0
Caoimhín Kelleher,0
Fabinho,19
Andy Robertson,35
Joe Gomez,29
Luis Díaz,0
Darwin Núñez,5
Stefan Bajcetic,0
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,27
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,23
Harvey Elliott,12
Ibrahima Konaté,0
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,24
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,6
Trent Alexander-Arnold,1
Diogo Jota,21
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,34
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
