,Reuell Walters,Ben White,Takehiro Tomiyasu,Emile Smith Rowe,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Reiss Nelson,Fábio Vieira,Karl Hein,Oleksandr Zinchenko,Thomas Partey,Kieran Tierney,Marquinhos,Nathan Butler-Oyedeji,William Saliba,Cédric Soares,Gabriel Jesus,Jorginho,Mauro Bandeira,Aaron Ramsdale,Gabriel Martinelli,Leandro Trossard,Lino Sousa,Bukayo Saka,Matt Turner,Nicolas Pépé,Eddie Nketiah,Albert Sambi Lokonga,Gabriel Magalhães,Jakub Kiwior,Rob Holding,Matt Smith,Ethan Nwaneri,Amario Cozier-Duberry,Successful,Unsuccessful,Unsuccessful Pass
Reuell Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben White,0,0,0,0,9,2,0,0,0,0,1,0,0,0,0,16,0,0,8,0,3,3,3,0,18,0,0,3,0,1,0,0,0,0,0,0,0,12
Takehiro Tomiyasu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Ødegaard,0,3,0,0,1,5,0,0,0,0,3,0,0,0,0,2,0,0,6,0,0,3,2,0,7,0,0,0,0,2,0,0,0,0,0,0,3,7
Granit Xhaka,0,3,0,0,3,0,0,0,0,0,16,2,0,0,0,5,0,0,10,0,0,6,3,0,1,0,0,0,0,8,0,0,0,0,0,0,0,10
Mohamed Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fábio Vieira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,8,0,0,12,0,0,10,8,0,1,0,0,0,0,4,0,0,0,0,0,0,1,12
Thomas Partey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
Kieran Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Butler-Oyedeji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Saliba,0,16,0,0,4,6,0,0,0,0,6,0,0,0,0,0,0,0,11,0,6,2,1,0,4,0,0,0,0,13,0,0,0,0,0,0,0,17
Cédric Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Jesus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorginho,0,20,0,0,8,8,0,0,0,0,6,1,0,0,0,11,0,0,0,0,1,2,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,19
Mauro Bandeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Ramsdale,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,7,0,0,2,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,5
Gabriel Martinelli,0,2,0,0,3,7,0,0,0,0,12,0,0,0,0,2,0,0,4,0,1,0,3,0,1,0,0,0,0,2,0,0,0,0,0,1,1,6
Leandro Trossard,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,1,0,0,1,0,1,8,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,6
