,initial_possession
Reuell Walters,0
Ben White,35
Takehiro Tomiyasu,0
Emile Smith Rowe,0
Martin Ødegaard,15
Granit Xhaka,21
Mohamed Elneny,0
Reiss Nelson,3
Fábio Vieira,3
Karl Hein,0
Oleksandr Zinchenko,0
Thomas Partey,11
Kieran Tierney,30
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,0
Cédric Soares,0
Gabriel Jesus,18
Jorginho,5
Mauro Bandeira,0
Aaron Ramsdale,16
Gabriel Martinelli,14
Leandro Trossard,4
Lino Sousa,0
Bukayo Saka,28
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,0
Albert Sambi Lokonga,0
Gabriel Magalhães,44
Jakub Kiwior,0
Rob Holding,22
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
