,initial_possession
Adrián,0
Mohamed Salah,10
Fábio Carvalho,0
Alisson Becker,17
Cody Gakpo,19
Caoimhín Kelleher,0
Fabinho,10
Andy Robertson,26
Joe Gomez,0
Luis Díaz,0
Darwin Núñez,0
Stefan Bajcetic,7
Curtis Jones,0
Joël Matip,35
Virgil van Dijk,26
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,4
Harvey Elliott,12
Ibrahima Konaté,0
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,0
Rhys Williams,0
Harvey Davies,0
Naby Keïta,15
Nathaniel Phillips,0
Jordan Henderson,31
Trent Alexander-Arnold,35
Diogo Jota,14
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,29
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
