,initial_possession
Reuell Walters,0
Ben White,21
Takehiro Tomiyasu,6
Emile Smith Rowe,2
Martin Ødegaard,14
Granit Xhaka,20
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,10
Karl Hein,0
Oleksandr Zinchenko,19
Thomas Partey,0
Kieran Tierney,0
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,29
Cédric Soares,0
Gabriel Jesus,21
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,12
Gabriel Martinelli,20
Leandro Trossard,0
Lino Sousa,0
Bukayo Saka,18
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,1
Albert Sambi Lokonga,16
Gabriel Magalhães,11
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
