,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,2
James Furlong,0
Levi Colwill,0
Adam Lallana,0
Kaoru Mitoma,11
Pervis Estupiñán,36
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,30
Solly March,16
Lewis Dunk,25
Moisés Caicedo,3
Andrew Moran,0
Facundo Buonanotte,4
Evan Ferguson,0
Julio Enciso,11
Jason Steele,13
Steven Alzate,0
Leandro Trossard,0
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,7
Deniz Undav,9
Yasin Ayari,1
Imari Samuels,0
Robert Sánchez,0
Enock Mwepu,0
Billy Gilmour,17
Danny Welbeck,12
Tariq Lamptey,0
Cameron Peupion,0
Joël Veltman,13
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
