,initial_possession
Adrián,0
Mohamed Salah,16
Fábio Carvalho,0
Alisson Becker,15
Cody Gakpo,0
Caoimhín Kelleher,0
Fabinho,31
Andy Robertson,48
Joe Gomez,44
Luis Díaz,0
Darwin Núñez,9
Stefan Bajcetic,0
Curtis Jones,7
Joël Matip,0
Virgil van Dijk,29
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,28
Harvey Elliott,18
Ibrahima Konaté,0
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,35
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,15
Trent Alexander-Arnold,35
Diogo Jota,0
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,9
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
