,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,19
James Furlong,0
Levi Colwill,0
Adam Lallana,6
Kaoru Mitoma,20
Pervis Estupiñán,30
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,24
Solly March,21
Lewis Dunk,23
Moisés Caicedo,32
Andrew Moran,0
Facundo Buonanotte,0
Evan Ferguson,0
Julio Enciso,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,6
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,19
Deniz Undav,0
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,16
Enock Mwepu,0
Billy Gilmour,2
Danny Welbeck,6
Tariq Lamptey,0
Cameron Peupion,0
Joël Veltman,1
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
