,initial_possession
Adrián,0
Mohamed Salah,8
Fábio Carvalho,0
Alisson Becker,17
Cody Gakpo,0
Caoimhín Kelleher,0
Fabinho,31
Andy Robertson,19
Joe Gomez,0
Luis Díaz,0
Darwin Núñez,13
Stefan Bajcetic,0
Curtis Jones,5
Joël Matip,18
Virgil van Dijk,13
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,0
Harvey Elliott,8
Ibrahima Konaté,28
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,26
Rhys Williams,0
Harvey Davies,0
Naby Keïta,24
Nathaniel Phillips,0
Jordan Henderson,0
Trent Alexander-Arnold,43
Diogo Jota,0
Luke Chambers,0
Alex Oxlade-Chamberlain,20
James Milner,0
Kostas Tsimikas,20
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
