,initial_possession
Reuell Walters,0
Ben White,24
Takehiro Tomiyasu,0
Emile Smith Rowe,0
Martin Ødegaard,8
Granit Xhaka,11
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,3
Karl Hein,0
Oleksandr Zinchenko,21
Thomas Partey,20
Kieran Tierney,6
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,22
Cédric Soares,0
Gabriel Jesus,14
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,14
Gabriel Martinelli,23
Leandro Trossard,0
Lino Sousa,0
Bukayo Saka,11
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,2
Albert Sambi Lokonga,6
Gabriel Magalhães,29
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
