,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,33
James Furlong,0
Levi Colwill,0
Adam Lallana,0
Kaoru Mitoma,11
Pervis Estupiñán,22
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,36
Solly March,26
Lewis Dunk,31
Moisés Caicedo,20
Andrew Moran,0
Facundo Buonanotte,0
Evan Ferguson,0
Julio Enciso,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,12
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,20
Deniz Undav,2
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,16
Enock Mwepu,11
Billy Gilmour,0
Danny Welbeck,5
Tariq Lamptey,16
Cameron Peupion,0
Joël Veltman,16
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
