,initial_possession
Adrián,0
Mohamed Salah,4
Fábio Carvalho,0
Alisson Becker,13
Cody Gakpo,9
Caoimhín Kelleher,0
Fabinho,26
Andy Robertson,16
Joe Gomez,31
Luis Díaz,0
Darwin Núñez,17
Stefan Bajcetic,0
Curtis Jones,22
Joël Matip,26
Virgil van Dijk,0
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,11
Harvey Elliott,0
Ibrahima Konaté,28
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,0
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,16
Trent Alexander-Arnold,0
Diogo Jota,20
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,7
Kostas Tsimikas,27
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
