,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,30
James Furlong,0
Levi Colwill,0
Adam Lallana,7
Kaoru Mitoma,9
Pervis Estupiñán,23
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,21
Solly March,30
Lewis Dunk,28
Moisés Caicedo,21
Andrew Moran,0
Facundo Buonanotte,0
Evan Ferguson,0
Julio Enciso,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,11
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,11
Deniz Undav,0
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,16
Enock Mwepu,0
Billy Gilmour,1
Danny Welbeck,13
Tariq Lamptey,2
Cameron Peupion,0
Joël Veltman,29
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
