,initial_possession
Adrián,0
Mohamed Salah,27
Fábio Carvalho,0
Alisson Becker,20
Cody Gakpo,14
Caoimhín Kelleher,0
Fabinho,14
Andy Robertson,28
Joe Gomez,0
Luis Díaz,0
Darwin Núñez,3
Stefan Bajcetic,0
Curtis Jones,17
Joël Matip,0
Virgil van Dijk,44
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,7
Harvey Elliott,0
Ibrahima Konaté,30
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,11
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,22
Trent Alexander-Arnold,37
Diogo Jota,14
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,0
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
