,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,10
James Furlong,0
Levi Colwill,0
Adam Lallana,0
Kaoru Mitoma,8
Pervis Estupiñán,31
Odeluga Offiah,13
Jan Paul van Hecke,41
Ed Turns,0
Adam Webster,0
Solly March,0
Lewis Dunk,30
Moisés Caicedo,38
Andrew Moran,0
Facundo Buonanotte,4
Evan Ferguson,6
Julio Enciso,6
Jason Steele,23
Steven Alzate,0
Leandro Trossard,0
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,13
Deniz Undav,9
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,0
Enock Mwepu,0
Billy Gilmour,11
Danny Welbeck,7
Tariq Lamptey,0
Cameron Peupion,2
Joël Veltman,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
