,initial_possession
Jeremy Sarmiento,9
Neal Maupay,0
Alexis Mac Allister,0
James Furlong,0
Levi Colwill,21
Adam Lallana,13
Kaoru Mitoma,16
Pervis Estupiñán,29
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,0
Solly March,16
Lewis Dunk,25
Moisés Caicedo,24
Andrew Moran,0
Facundo Buonanotte,0
Evan Ferguson,4
Julio Enciso,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,11
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,22
Deniz Undav,0
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,14
Enock Mwepu,0
Billy Gilmour,2
Danny Welbeck,0
Tariq Lamptey,2
Cameron Peupion,0
Joël Veltman,46
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
