,Reuell Walters,Ben White,Takehiro Tomiyasu,Emile Smith Rowe,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Reiss Nelson,Fábio Vieira,Karl Hein,Oleksandr Zinchenko,Thomas Partey,Kieran Tierney,Marquinhos,Nathan Butler-Oyedeji,William Saliba,Cédric Soares,Gabriel Jesus,Jorginho,Mauro Bandeira,Aaron Ramsdale,Gabriel Martinelli,Leandro Trossard,Lino Sousa,Bukayo Saka,Matt Turner,Nicolas Pépé,Eddie Nketiah,Albert Sambi Lokonga,Gabriel Magalhães,Jakub Kiwior,Rob Holding,Matt Smith,Ethan Nwaneri,Amario Cozier-Duberry,Successful,Unsuccessful,Unsuccessful Pass
Reuell Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben White,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,7
Takehiro Tomiyasu,0,0,0,0,2,0,0,0,1,0,1,3,0,0,0,9,0,0,0,0,0,4,0,0,16,0,0,0,0,3,0,0,0,0,0,0,1,11
Emile Smith Rowe,0,0,0,0,1,0,0,0,4,0,10,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,4
Martin Ødegaard,0,5,6,3,0,1,0,0,4,0,10,8,0,0,0,8,0,0,0,0,0,2,1,0,12,0,0,0,0,3,0,0,0,0,0,0,11,19
Granit Xhaka,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Mohamed Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,0,1,0,0,1,2,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3
Fábio Vieira,0,0,0,4,3,0,0,4,0,0,9,7,0,0,0,2,0,0,0,0,0,2,3,0,1,0,0,0,0,6,0,0,0,0,0,0,2,5
Karl Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,0,0,3,7,7,1,0,8,15,0,0,10,0,0,0,4,0,0,0,0,1,8,5,0,7,0,0,0,0,15,0,0,0,0,0,0,3,15
Thomas Partey,0,5,6,3,14,0,0,1,4,0,9,0,0,0,0,11,0,0,0,0,0,3,1,0,10,0,0,0,0,8,0,0,0,0,0,1,0,14
Kieran Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Butler-Oyedeji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Saliba,0,16,12,0,16,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,1,2,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,7
Cédric Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Jesus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
