,initial_possession
Adrián,0
Mohamed Salah,13
Fábio Carvalho,7
Alisson Becker,13
Cody Gakpo,0
Caoimhín Kelleher,0
Fabinho,16
Andy Robertson,46
Joe Gomez,0
Luis Díaz,13
Darwin Núñez,10
Stefan Bajcetic,0
Curtis Jones,0
Joël Matip,40
Virgil van Dijk,43
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,8
Harvey Elliott,8
Ibrahima Konaté,0
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,26
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,23
Trent Alexander-Arnold,36
Diogo Jota,0
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,12
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
