,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,28
James Furlong,0
Levi Colwill,0
Adam Lallana,2
Kaoru Mitoma,12
Pervis Estupiñán,16
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,35
Solly March,30
Lewis Dunk,35
Moisés Caicedo,30
Andrew Moran,0
Facundo Buonanotte,0
Evan Ferguson,0
Julio Enciso,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,9
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,16
Deniz Undav,4
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,7
Enock Mwepu,0
Billy Gilmour,0
Danny Welbeck,13
Tariq Lamptey,0
Cameron Peupion,0
Joël Veltman,35
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
