,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,15
James Furlong,0
Levi Colwill,0
Adam Lallana,0
Kaoru Mitoma,17
Pervis Estupiñán,40
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,25
Solly March,18
Lewis Dunk,36
Moisés Caicedo,23
Andrew Moran,0
Facundo Buonanotte,0
Evan Ferguson,4
Julio Enciso,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,0
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,17
Deniz Undav,7
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,8
Enock Mwepu,0
Billy Gilmour,0
Danny Welbeck,0
Tariq Lamptey,6
Cameron Peupion,0
Joël Veltman,34
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
