,initial_possession
Adrián,0
Mohamed Salah,12
Fábio Carvalho,0
Alisson Becker,24
Cody Gakpo,10
Caoimhín Kelleher,0
Fabinho,13
Andy Robertson,35
Joe Gomez,0
Luis Díaz,2
Darwin Núñez,5
Stefan Bajcetic,0
Curtis Jones,14
Joël Matip,0
Virgil van Dijk,26
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,0
Harvey Elliott,0
Ibrahima Konaté,36
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,6
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,17
Trent Alexander-Arnold,37
Diogo Jota,16
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,3
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
