,initial_possession
Reuell Walters,0
Ben White,33
Takehiro Tomiyasu,5
Emile Smith Rowe,0
Martin Ødegaard,16
Granit Xhaka,18
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,1
Karl Hein,0
Oleksandr Zinchenko,46
Thomas Partey,0
Kieran Tierney,1
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,30
Cédric Soares,0
Gabriel Jesus,0
Jorginho,23
Mauro Bandeira,0
Aaron Ramsdale,9
Gabriel Martinelli,5
Leandro Trossard,8
Lino Sousa,0
Bukayo Saka,34
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,20
Albert Sambi Lokonga,0
Gabriel Magalhães,15
Jakub Kiwior,0
Rob Holding,1
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
