,initial_possession
Adrián,0
Mohamed Salah,14
Fábio Carvalho,0
Alisson Becker,16
Cody Gakpo,6
Caoimhín Kelleher,0
Fabinho,13
Andy Robertson,34
Joe Gomez,7
Luis Díaz,0
Darwin Núñez,0
Stefan Bajcetic,0
Curtis Jones,0
Joël Matip,14
Virgil van Dijk,0
Bobby Clark,0
Arthur,0
Ben Doak,5
Roberto Firmino,0
Harvey Elliott,4
Ibrahima Konaté,32
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,26
Rhys Williams,0
Harvey Davies,0
Naby Keïta,7
Nathaniel Phillips,0
Jordan Henderson,13
Trent Alexander-Arnold,22
Diogo Jota,0
Luke Chambers,0
Alex Oxlade-Chamberlain,9
James Milner,0
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
