,initial_possession
Adrián,0
Mohamed Salah,23
Fábio Carvalho,4
Alisson Becker,16
Cody Gakpo,0
Caoimhín Kelleher,0
Fabinho,26
Andy Robertson,13
Joe Gomez,51
Luis Díaz,11
Darwin Núñez,0
Stefan Bajcetic,0
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,24
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,19
Harvey Elliott,25
Ibrahima Konaté,0
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,0
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,9
Trent Alexander-Arnold,37
Diogo Jota,0
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,21
Kostas Tsimikas,10
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
