,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,5
James Furlong,0
Levi Colwill,26
Adam Lallana,0
Kaoru Mitoma,25
Pervis Estupiñán,19
Odeluga Offiah,0
Jan Paul van Hecke,28
Ed Turns,0
Adam Webster,0
Solly March,0
Lewis Dunk,0
Moisés Caicedo,19
Andrew Moran,0
Facundo Buonanotte,21
Evan Ferguson,3
Julio Enciso,10
Jason Steele,6
Steven Alzate,0
Leandro Trossard,0
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,24
Deniz Undav,3
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,0
Enock Mwepu,0
Billy Gilmour,12
Danny Welbeck,11
Tariq Lamptey,0
Cameron Peupion,0
Joël Veltman,4
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
