,initial_possession
Reuell Walters,0
Ben White,26
Takehiro Tomiyasu,5
Emile Smith Rowe,3
Martin Ødegaard,12
Granit Xhaka,13
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,0
Karl Hein,0
Oleksandr Zinchenko,22
Thomas Partey,28
Kieran Tierney,5
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,29
Cédric Soares,0
Gabriel Jesus,26
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,10
Gabriel Martinelli,13
Leandro Trossard,0
Lino Sousa,0
Bukayo Saka,16
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,3
Albert Sambi Lokonga,0
Gabriel Magalhães,25
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
