,initial_possession
Adrián,0
Mohamed Salah,10
Fábio Carvalho,7
Alisson Becker,12
Cody Gakpo,0
Caoimhín Kelleher,0
Fabinho,26
Andy Robertson,16
Joe Gomez,32
Luis Díaz,15
Darwin Núñez,0
Stefan Bajcetic,7
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,37
Bobby Clark,5
Arthur,0
Ben Doak,0
Roberto Firmino,15
Harvey Elliott,8
Ibrahima Konaté,0
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,0
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,14
Trent Alexander-Arnold,28
Diogo Jota,0
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,7
Kostas Tsimikas,4
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
