,initial_possession
Reuell Walters,0
Ben White,29
Takehiro Tomiyasu,3
Emile Smith Rowe,8
Martin Ødegaard,29
Granit Xhaka,16
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,0
Karl Hein,0
Oleksandr Zinchenko,25
Thomas Partey,22
Kieran Tierney,2
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,17
Cédric Soares,0
Gabriel Jesus,26
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,13
Gabriel Martinelli,5
Leandro Trossard,0
Lino Sousa,0
Bukayo Saka,19
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,2
Albert Sambi Lokonga,1
Gabriel Magalhães,34
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
