,initial_possession
Reuell Walters,0
Ben White,27
Takehiro Tomiyasu,0
Emile Smith Rowe,1
Martin Ødegaard,8
Granit Xhaka,8
Mohamed Elneny,0
Reiss Nelson,2
Fábio Vieira,0
Karl Hein,0
Oleksandr Zinchenko,32
Thomas Partey,23
Kieran Tierney,0
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,0
Cédric Soares,0
Gabriel Jesus,19
Jorginho,4
Mauro Bandeira,0
Aaron Ramsdale,16
Gabriel Martinelli,8
Leandro Trossard,2
Lino Sousa,0
Bukayo Saka,13
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,1
Albert Sambi Lokonga,0
Gabriel Magalhães,17
Jakub Kiwior,0
Rob Holding,29
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
