,initial_possession
Reuell Walters,0
Ben White,6
Takehiro Tomiyasu,30
Emile Smith Rowe,0
Martin Ødegaard,16
Granit Xhaka,14
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,2
Karl Hein,0
Oleksandr Zinchenko,40
Thomas Partey,0
Kieran Tierney,0
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,33
Cédric Soares,0
Gabriel Jesus,0
Jorginho,19
Mauro Bandeira,0
Aaron Ramsdale,11
Gabriel Martinelli,15
Leandro Trossard,4
Lino Sousa,0
Bukayo Saka,19
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,18
Albert Sambi Lokonga,0
Gabriel Magalhães,17
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
