,initial_possession
Adrián,0
Mohamed Salah,23
Fábio Carvalho,8
Alisson Becker,11
Cody Gakpo,0
Caoimhín Kelleher,0
Fabinho,32
Andy Robertson,0
Joe Gomez,0
Luis Díaz,12
Darwin Núñez,4
Stefan Bajcetic,0
Curtis Jones,0
Joël Matip,30
Virgil van Dijk,27
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,16
Harvey Elliott,7
Ibrahima Konaté,0
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,28
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,9
Trent Alexander-Arnold,36
Diogo Jota,8
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,16
Kostas Tsimikas,25
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
