,initial_possession
Reuell Walters,0
Ben White,34
Takehiro Tomiyasu,1
Emile Smith Rowe,1
Martin Ødegaard,19
Granit Xhaka,18
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,0
Karl Hein,0
Oleksandr Zinchenko,35
Thomas Partey,28
Kieran Tierney,7
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,14
Cédric Soares,0
Gabriel Jesus,0
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,22
Gabriel Martinelli,14
Leandro Trossard,0
Lino Sousa,0
Bukayo Saka,13
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,24
Albert Sambi Lokonga,0
Gabriel Magalhães,37
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
