,initial_possession
Adrián,0
Mohamed Salah,10
Fábio Carvalho,0
Alisson Becker,28
Cody Gakpo,0
Caoimhín Kelleher,0
Fabinho,25
Andy Robertson,25
Joe Gomez,2
Luis Díaz,0
Darwin Núñez,25
Stefan Bajcetic,0
Curtis Jones,1
Joël Matip,0
Virgil van Dijk,17
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,16
Harvey Elliott,22
Ibrahima Konaté,47
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,29
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,4
Trent Alexander-Arnold,30
Diogo Jota,0
Luke Chambers,0
Alex Oxlade-Chamberlain,2
James Milner,0
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
