,initial_possession
Jeremy Sarmiento,1
Neal Maupay,0
Alexis Mac Allister,14
James Furlong,0
Levi Colwill,0
Adam Lallana,9
Kaoru Mitoma,0
Pervis Estupiñán,10
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,30
Solly March,19
Lewis Dunk,21
Moisés Caicedo,19
Andrew Moran,0
Facundo Buonanotte,0
Evan Ferguson,0
Julio Enciso,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,13
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,20
Deniz Undav,2
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,12
Enock Mwepu,0
Billy Gilmour,2
Danny Welbeck,9
Tariq Lamptey,13
Cameron Peupion,0
Joël Veltman,18
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
