,Reuell Walters,Ben White,Takehiro Tomiyasu,Emile Smith Rowe,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Reiss Nelson,Fábio Vieira,Karl Hein,Oleksandr Zinchenko,Thomas Partey,Kieran Tierney,Marquinhos,Nathan Butler-Oyedeji,William Saliba,Cédric Soares,Gabriel Jesus,Jorginho,Mauro Bandeira,Aaron Ramsdale,Gabriel Martinelli,Leandro Trossard,Lino Sousa,Bukayo Saka,Matt Turner,Nicolas Pépé,Eddie Nketiah,Albert Sambi Lokonga,Gabriel Magalhães,Jakub Kiwior,Rob Holding,Matt Smith,Ethan Nwaneri,Amario Cozier-Duberry,Successful,Unsuccessful,Unsuccessful Pass
Reuell Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben White,0,0,0,0,11,1,5,0,0,0,0,0,1,0,0,21,0,7,0,0,0,2,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,8
Takehiro Tomiyasu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Ødegaard,0,8,0,0,0,2,8,0,0,0,0,0,3,0,0,4,0,4,0,0,0,9,0,0,15,0,0,2,0,3,0,0,0,0,0,1,2,12
Granit Xhaka,0,3,0,0,6,0,3,0,0,0,0,0,6,0,0,6,0,6,0,0,1,8,0,0,2,0,0,0,0,6,0,0,0,0,0,0,1,13
Mohamed Elneny,0,6,0,0,4,6,0,0,0,0,0,0,5,0,0,9,0,2,0,0,0,1,0,0,2,0,0,1,0,13,0,0,0,0,0,0,0,1
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fábio Vieira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
