,initial_possession
Reuell Walters,0
Ben White,24
Takehiro Tomiyasu,5
Emile Smith Rowe,0
Martin Ødegaard,6
Granit Xhaka,20
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,3
Karl Hein,0
Oleksandr Zinchenko,40
Thomas Partey,13
Kieran Tierney,0
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,36
Cédric Soares,0
Gabriel Jesus,0
Jorginho,7
Mauro Bandeira,0
Aaron Ramsdale,14
Gabriel Martinelli,8
Leandro Trossard,8
Lino Sousa,0
Bukayo Saka,25
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,11
Albert Sambi Lokonga,0
Gabriel Magalhães,43
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
